t,agentID,homeLoc,candLoc,candIdx,isHome,layers,nLayers,value,familiarity,attachPenFrac,movingCost,creditBlocked,distressMode
63,46,18,14,2,0,unskilled1|school,2,49.7595400258477,0.148822081773514,0.24637105617006,2.37827548447365,0,0
63,46,18,14,3,0,unskilled2|cassava,2,46.5593448243225,0.137877521846534,0.249538928280917,2.37827548447365,0,0
63,46,18,14,4,0,unskilled1|maize|industrial_crop,3,54.1049827001875,0.446616777729264,0.160175218386428,2.37827548447365,0,0
63,46,18,14,5,0,unskilled2|maize|industrial_crop,3,55.9213564768532,0.375862087335096,0.18065496466288,2.37827548447365,0,0
63,46,18,14,6,0,maize|cassava|industrial_crop,3,45.8798355083692,0.413182796298446,0.169852590344389,2.37827548447365,0,0
63,46,18,18,1,1,unskilled1|unskilled2,2,52.9261493916608,0.188028493992761,0.235022870343975,0,0,0
63,46,18,18,2,1,unskilled1|school,2,50.0534444286524,0.148822081773514,0.24637105617006,0,0,0
63,46,18,18,3,1,maize,1,-1.23206773455386,0.909936272669604,0.0260686927490262,0,0,0
63,46,18,18,4,1,unskilled2|cassava,2,49.74249459371,0.137877521846534,0.249538928280917,0,0,0
63,46,18,18,5,1,unskilled1|maize|industrial_crop,3,71.461039454633,0.446616777729264,0.160175218386428,0,0,0
63,46,18,18,6,1,unskilled2|maize|industrial_crop,3,71.8602302905354,0.375862087335096,0.18065496466288,0,0,0
63,170,15,1,1,0,school,1,257.420636962088,0.0682104773545594,0.319292350185335,1.75764393974362,0,0
63,170,15,1,2,0,unskilled1|school,2,788.744868362306,0.152819577895047,0.290299709785236,1.75764393974362,1,0
63,170,15,1,3,0,rice_south|cassava,2,491.360968833484,0.0589282143726151,0.322473063737607,1.75764393974362,0,0
63,170,15,1,4,0,rice_south|maize|industrial_crop,3,851.353750411057,0.412644195048786,0.201266713995059,1.75764393974362,0,0
63,170,15,1,5,0,maize|cassava|industrial_crop,3,691.348871954173,0.451929671297196,0.1878049270414,1.75764393974362,1,0
63,170,15,6,1,0,unskilled1|unskilled2,2,774.221449610653,0.131330034922864,0.297663440019631,0.842937986866809,1,0
63,170,15,6,2,0,unskilled1|rice_north,2,771.364290187803,0.118714339217768,0.301986406776616,0.842937986866809,1,0
63,170,15,6,3,0,unskilled2|rice_north,2,924.924412431768,0.0126156957050962,0.338342777411112,0.842937986866809,0,0
63,170,15,6,4,0,maize,1,79.4851880214306,0.806851424868509,0.06618540023244,0.842937986866809,1,0
63,170,15,6,5,0,rice_north|cassava,2,316.593188348444,0.0589282143726151,0.322473063737607,0.842937986866809,1,0
63,170,15,15,1,1,(none),0,0,NaN,0,0,0,0
63,170,15,15,2,1,unskilled2|rice_north,2,922.023015976065,0.0126156957050962,0.338342777411112,0,0,0
63,170,15,15,3,1,unskilled1|cassava,2,787.629216628811,0.177642553590383,0.281793726346127,0,1,0
63,170,15,15,4,1,rice_north|cassava,2,291.348201231675,0.0589282143726151,0.322473063737607,0,1,0
63,170,15,15,5,1,unskilled1|industrial_crop,2,1070.39107432403,0.334254919356692,0.228128033484889,0,0,0
63,170,15,15,6,1,unskilled2|maize|industrial_crop,3,881.501920354854,0.421054658852183,0.198384736157069,0,1,0
63,170,15,19,1,0,school,1,20.9049040608293,0.0682104773545594,0.319292350185335,6.26673007784706,0,0
63,170,15,19,2,0,unskilled1|school,2,730.393048905262,0.152819577895047,0.290299709785236,6.26673007784706,1,0
63,170,15,19,3,0,unskilled1|maize,2,632.835048017989,0.522140051652022,0.163746234808788,6.26673007784706,0,0
