t,year,quarter,agentID,age,tenure_q,loc,isAg,attachment,layers,nLayers,agYF,subsistBase,subsistNow,inflator,grossIncome,sharedOut,netIncome,agIncomeYTD,wealth_start,wealth_end,wealth_expect,wealth_resid,layerIncome,prodBonus,sharedIn,income_expect,income_resid,TOD,inSouth,buffer,lastShortfall,trapped,exitReason
107,2011,3,170,72.722649384944,107,18,1,0.685331488336193,maize,1,0.934231833333333,1.75,1.86509429166667,1.06576816666667,8.7384642912,0,8.7384642912,8.7384642912,13.3255007572922,20.1988707568255,20.1988707568255,0,8.09117064,0.6472936512,0,8.7384642912,0,-9999,0,1.4,0,0,
108,2011,4,28,40.8198879284411,108,4,1,0.924177843510159,maize,1,0.8001164,1.75,2.0997963,1.1998836,0,0,0,12.0387096774194,-101.588031112416,-103.687827412416,-103.687827412416,0,0,0,0,0,0,-9999,0,6.27080792079208,0,1,
108,2011,4,56,64.2060544864367,108,1,1,0.729756550973948,maize,1,0.856548675,1.75,2.00103981875,1.143451325,0,0,0,9.4506476,46.9977560736636,44.9967162549136,44.9967162549136,0,0,0,0,0,0,-9999,0,6.42619661269897,0,0,
108,2011,4,170,72.972649384944,108,18,1,0.685331488336193,maize,1,0.934231833333333,1.75,1.86509429166667,1.06576816666667,0,0,0,8.7384642912,20.1988707568255,18.3337764651588,18.3337764651588,0,0,0,0,0,0,-9999,0,1.4,0,0,
109,2012,1,28,41.0698879284411,109,4,1,0.924177843510159,maize,1,0.8001164,1.75,2.0997963,1.1998836,0,0,0,0,-104.0856755796,-106.1854718796,-106.1854718796,0,0,0,0,0,0,-9999,0,7,0,1,
109,2012,1,56,64.4560544864367,109,18,1,0.729756550973948,maize,1,0.934231833333333,1.75,1.86509429166667,1.06576816666667,0,0,0,0,44.3077024804824,42.4426081888157,42.4426081888157,0,0,0,0,0,0,-9999,0,7,0,0,
109,2012,1,170,73.222649384944,109,18,1,0.685331488336193,maize,1,0.934231833333333,1.75,1.86509429166667,1.06576816666667,0,0,0,0,17.8225416153455,15.9574473236788,15.9574473236788,0,0,0,0,0,0,-9999,0,2.04829750421333,0,0,
110,2012,2,28,41.3198879284411,110,4,1,0.924177843510159,maize,1,0.8001164,1.75,2.0997963,1.1998836,0,0,0,0,-106.1854718796,-108.2852681796,-108.2852681796,0,0,0,0,0,0,-9999,0,7,0,1,
110,2012,2,56,64.7060544864367,110,18,1,0.729756550973948,unskilled2|maize,2,0.934231833333333,1.75,1.86509429166667,1.06576816666667,3.60637918055556,0,3.60637918055556,0,42.4426081888157,44.1838930777046,44.1838930777046,0,3.60637918055556,0,0,3.60637918055556,0,-9999,0,7,0,0,
110,2012,2,170,73.472649384944,110,18,1,0.685331488336193,maize,1,0.934231833333333,1.75,1.86509429166667,1.06576816666667,0,0,0,0,15.9574473236788,14.0923530320122,14.0923530320122,0,0,0,0,0,0,-9999,0,2.04829750421333,0,0,
111,2012,3,28,41.5698879284411,111,4,1,0.924177843510159,maize,1,0.822167,1.75,2.06120775,1.177833,8.43985112108108,0,8.43985112108108,8.43985112108108,-108.2852681796,-101.906624808519,-101.906624808519,0,7.03320926756757,1.40664185351351,0,8.43985112108108,0,-9999,0,7,0,1,
111,2012,3,56,64.9560544864367,111,17,1,0.729756550973948,maize,1,0.9881969,1.75,1.770655425,1.0118031,12.24,0,12.24,12.24,42.6886884366062,53.1580330116062,53.1580330116062,0,10.2,2.04,0,12.24,0,-9999,0,7,0,0,
111,2012,3,170,73.722649384944,111,18,1,0.685331488336193,maize,1,0.979260733333333,1.75,1.78629371666667,1.02073926666667,10.4612985173587,0,10.4612985173587,10.4612985173587,14.0923530320122,22.7673578327041,22.7673578327041,0,9.36514926756757,1.09614924979108,0,10.4612985173587,0,-9999,0,2.04829750421333,0,0,
112,2012,4,28,41.8198879284411,112,4,1,0.924177843510159,rice_south,1,0.822167,1.75,2.06120775,1.177833,9.0479532,0,9.0479532,17.4878043210811,-101.906624808519,-94.9198793585191,-94.9198793585191,0,7.539961,1.5079922,0,9.0479532,0,-9999,0,7,0,1,
112,2012,4,56,65.2060544864367,112,17,1,0.729756550973948,maize,1,0.9881969,1.75,1.770655425,1.0118031,0,0,0,12.24,53.1580330116062,51.3873775866062,51.3873775866062,0,0,0,0,0,0,-9999,0,7,0,0,
112,2012,4,170,73.972649384944,112,18,1,0.685331488336193,maize,1,0.979260733333333,1.75,1.78629371666667,1.02073926666667,0,0,0,10.4612985173587,22.7673578327041,20.9810641160375,20.9810641160375,0,0,0,0,0,0,-9999,0,2.04829750421333,0,0,
113,2013,1,28,42.0698879284411,113,9,1,0.924177843510159,rice_south,1,0.636890075,1.75,2.38544236875,1.363109925,0,0,0,0,-95.6958151520461,-98.0812575207961,-98.0812575207961,0,0,0,0,0,0,-9999,0,7,0,1,
113,2013,1,56,65.4560544864367,113,17,1,0.729756550973948,maize,1,0.9881969,1.75,1.770655425,1.0118031,0,0,0,0,51.3873775866062,49.6167221616062,49.6167221616062,0,0,0,0,0,0,-9999,0,7,0,0,
113,2013,1,170,74.222649384944,113,18,1,0.685331488336193,maize,1,0.979260733333333,1.75,1.78629371666667,1.02073926666667,0,0,0,0,19.6546146557607,17.868320939094,17.868320939094,0,0,0,0,0,0,-9999,0,3.60626932177647,0,0,
114,2013,2,28,42.3198879284411,114,16,0,0.924177843510159,(none),0,0.8934537,1.75,1.936456025,1.1065463,0,0,0,0,-100.334078124603,-102.270534149603,-102.270534149603,0,0,0,0,0,0,-9999,0,7,0,1,
114,2013,2,56,65.7060544864367,114,17,1,0.729756550973948,maize,1,0.9881969,1.75,1.770655425,1.0118031,0,0,0,0,49.6167221616062,47.8460667366062,47.8460667366062,0,0,0,0,0,0,-9999,0,7,0,0,
114,2013,2,170,74.472649384944,114,18,1,0.685331488336193,maize,1,0.979260733333333,1.75,1.78629371666667,1.02073926666667,0,0,0,0,17.868320939094,16.0820272224273,16.0820272224273,0,0,0,0,0,0,-9999,0,3.60626932177647,0,0,
115,2013,3,28,42.5698879284411,115,16,0,0.924177843510159,(none),0,0.803788275,1.75,2.09337051875,1.196211725,0,0,0,0,-102.270534149603,-104.363904668353,-104.363904668353,0,0,0,0,0,0,-9999,0,7,0,1,
115,2013,3,56,65.9560544864367,115,16,1,0.729756550973948,unskilled1|maize|industrial_crop,3,0.803788275,1.75,2.09337051875,1.196211725,9.20459394392045,0,9.20459394392045,7.69172360727273,46.9863564153181,54.0975798404886,54.0975798404886,0,7.922640009375,1.28195393454545,0,9.20459394392045,0,-9999,0,7,0,0,
115,2013,3,170,74.722649384944,115,18,1,0.685331488336193,maize,1,0.8534221,1.75,2.006511325,1.1465779,7.57729607294118,0,7.57729607294118,7.57729607294118,16.0820272224273,21.6528119703685,21.6528119703685,0,6.31441339411765,1.26288267882353,0,7.57729607294118,0,-9999,0,3.60626932177647,0,0,
116,2013,4,28,42.8198879284411,116,16,0,0.924177843510159,school,1,0.803788275,1.75,2.09337051875,1.196211725,0,0,0,0,-104.363904668353,-106.457275187103,-106.457275187103,0,0,0,0,0,0,-9999,0,7,0,0,
116,2013,4,56,66.2060544864367,116,14,1,0.729756550973948,maize,1,0.982248533333333,1.75,1.78106506666667,1.01775146666667,0,0,0,7.69172360727273,52.1229550051669,50.3418899385003,50.3418899385003,0,0,0,0,0,0,-9999,0,7,0,0,
116,2013,4,170,74.972649384944,116,18,1,0.685331488336193,maize,1,0.8534221,1.75,2.006511325,1.1465779,0,0,0,7.57729607294118,21.6528119703685,19.6463006453685,19.6463006453685,0,0,0,0,0,0,-9999,0,3.60626932177647,0,0,
117,2014,1,28,43.0698879284411,117,21,1,0.924177843510159,maize,1,1,1.75,1.75,1,0,0,0,0,-109.464558621989,-111.214558621989,-111.214558621989,0,0,0,0,0,0,-9999,1,0.42,0,0,
117,2014,1,56,66.4560544864367,117,1,1,0.729756550973948,maize|industrial_crop,2,0.89702495,1.75,1.9302063375,1.10297505,3.94736842105263,0,3.94736842105263,0,48.9132465459341,50.9304086294867,50.9304086294867,0,3.94736842105263,0,0,3.94736842105263,0,-9999,0,7,0,0,
117,2014,1,170,75.222649384944,117,18,1,0.685331488336193,maize,1,0.8534221,1.75,2.006511325,1.1465779,0,0,0,0,19.6463006453685,17.6397893203685,17.6397893203685,0,0,0,0,0,0,-9999,0,3.47003087932542,0,0,
