quarter,year,agentID,loc,lastYearIncome,baselineIncome,dropThreshold,incomeShock,lastShortfall,historyOK,cooldownOK,fired,movedTo
143,2018,1122,11,NaN,NaN,NaN,0,0.299795759852731,1,1,0,5
143,2018,1034,13,NaN,NaN,NaN,0,0.159609015699699,1,1,0,8
143,2018,625,18,NaN,NaN,NaN,0,0,1,1,0,4
143,2018,1043,13,NaN,NaN,NaN,0,0,1,1,0,0
143,2018,1599,7,NaN,NaN,NaN,0,0,1,1,0,13
143,2018,487,20,NaN,NaN,NaN,0,0,1,1,0,15
143,2018,390,3,NaN,NaN,NaN,0,0,1,0,0,0
143,2018,183,6,NaN,NaN,NaN,0,0,1,1,0,4
143,2018,372,2,NaN,NaN,NaN,0,0,1,1,0,0
143,2018,1199,6,NaN,NaN,NaN,0,0,1,1,0,1
143,2018,534,12,NaN,NaN,NaN,0,0,1,1,0,0
143,2018,1305,13,NaN,NaN,NaN,0,0,1,1,0,15
143,2018,1130,9,NaN,NaN,NaN,0,0,1,0,0,0
143,2018,1038,13,NaN,NaN,NaN,0,0.0469842740937043,1,1,0,0
143,2018,1215,19,NaN,NaN,NaN,0,0,1,0,0,0
143,2018,44,8,NaN,NaN,NaN,0,0,1,1,0,20
143,2018,1598,19,NaN,NaN,NaN,0,0,1,1,0,12
143,2018,276,4,NaN,NaN,NaN,0,0,1,1,0,0
143,2018,545,10,NaN,NaN,NaN,0,0,1,1,0,0
143,2018,907,13,NaN,NaN,NaN,0,0,1,0,0,0
143,2018,813,18,NaN,NaN,NaN,0,0,1,0,0,1
143,2018,323,13,NaN,NaN,NaN,0,0,1,1,0,15
143,2018,634,14,NaN,NaN,NaN,0,0,1,0,0,17
143,2018,447,15,NaN,NaN,NaN,0,0,1,1,0,0
143,2018,1196,13,NaN,NaN,NaN,0,0,1,1,0,0
143,2018,376,8,NaN,NaN,NaN,0,0,1,1,0,16
143,2018,247,21,NaN,NaN,NaN,0,0,1,1,0,5
143,2018,1144,15,NaN,NaN,NaN,0,0,1,0,0,9
143,2018,1394,15,NaN,NaN,NaN,0,0,1,1,0,21
143,2018,763,1,NaN,NaN,NaN,0,0,1,1,0,5
143,2018,16,9,NaN,NaN,NaN,0,0,1,1,0,5
143,2018,931,12,NaN,NaN,NaN,0,0,1,1,0,0
143,2018,745,9,NaN,NaN,NaN,0,0,1,1,0,10
143,2018,102,17,NaN,NaN,NaN,0,0,1,1,0,15
143,2018,1457,13,NaN,NaN,NaN,0,0,1,1,0,10
143,2018,607,5,NaN,NaN,NaN,0,0,1,0,0,8
143,2018,106,1,NaN,NaN,NaN,0,0,1,0,0,8
143,2018,20,6,NaN,NaN,NaN,0,0,1,1,0,0
143,2018,80,1,NaN,NaN,NaN,0,0,1,1,0,21
143,2018,1465,21,NaN,NaN,NaN,0,0,1,1,0,0
143,2018,1368,13,NaN,NaN,NaN,0,0,1,0,0,0
143,2018,47,11,NaN,NaN,NaN,0,0,1,1,0,12
143,2018,1021,12,NaN,NaN,NaN,0,0,1,0,0,0
143,2018,767,5,NaN,NaN,NaN,0,0,1,1,0,16
143,2018,1186,16,NaN,NaN,NaN,0,0,1,1,0,7
143,2018,803,10,NaN,NaN,NaN,0,0,1,1,0,5
143,2018,800,3,NaN,NaN,NaN,0,0,1,0,0,17
143,2018,1024,6,NaN,NaN,NaN,0,0,1,0,0,22
143,2018,738,21,NaN,NaN,NaN,0,0,1,0,0,0
143,2018,1535,13,NaN,NaN,NaN,0,0,1,1,0,11
143,2018,272,1,NaN,NaN,NaN,0,0,1,1,0,9
143,2018,233,5,NaN,NaN,NaN,0,0,1,1,0,1
143,2018,1003,8,NaN,NaN,NaN,0,0,1,1,0,12
143,2018,1439,9,NaN,NaN,NaN,0,0,1,1,0,0
143,2018,87,10,NaN,NaN,NaN,0,0,1,0,0,0
143,2018,1441,18,NaN,NaN,NaN,0,0,1,0,0,0
143,2018,1124,10,NaN,NaN,NaN,0,0,1,1,0,11
143,2018,151,12,NaN,NaN,NaN,0,0,1,1,0,0
143,2018,568,5,NaN,NaN,NaN,0,0,1,0,0,9
143,2018,174,11,NaN,NaN,NaN,0,0,1,0,0,0
143,2018,821,6,NaN,NaN,NaN,0,0,1,0,0,4
144,2018,1215,19,NaN,NaN,NaN,0,0,1,0,0,0
144,2018,907,13,NaN,NaN,NaN,0,0,1,0,0,0
144,2018,800,17,NaN,NaN,NaN,0,0,1,0,0,0
144,2018,1144,9,NaN,NaN,NaN,0,0,1,0,0,1
144,2018,272,9,NaN,NaN,NaN,0,0,1,1,0,0
144,2018,568,9,NaN,NaN,NaN,0,0,1,0,0,13
144,2018,87,10,NaN,NaN,NaN,0,0,1,0,0,0
144,2018,1598,12,NaN,NaN,NaN,0,0,1,1,0,0
144,2018,1391,4,NaN,NaN,NaN,0,0,1,1,0,0
144,2018,347,13,NaN,NaN,NaN,0,0,1,0,0,0
144,2018,243,3,NaN,NaN,NaN,0,0.304175362581109,1,1,0,20
144,2018,813,1,NaN,NaN,NaN,0,0,1,0,0,18
144,2018,20,6,NaN,NaN,NaN,0,0,1,1,0,13
144,2018,545,10,NaN,NaN,NaN,0,0,1,1,0,0
144,2018,47,12,NaN,NaN,NaN,0,0,1,1,0,9
144,2018,233,1,NaN,NaN,NaN,0,0,1,1,0,5
144,2018,887,1,NaN,NaN,NaN,0,0,1,1,0,0
144,2018,276,4,NaN,NaN,NaN,0,0,1,1,0,16
144,2018,821,4,NaN,NaN,NaN,0,0,1,0,0,8
144,2018,106,8,NaN,NaN,NaN,0,0,1,0,0,11
144,2018,183,4,NaN,NaN,NaN,0,0,1,1,0,10
144,2018,1305,15,NaN,NaN,NaN,0,0,1,1,0,7
144,2018,80,21,NaN,NaN,NaN,0,0,1,1,0,0
144,2018,968,15,NaN,NaN,NaN,0,0,1,1,0,12
144,2018,1021,12,NaN,NaN,NaN,0,0,1,0,0,0
144,2018,372,2,NaN,NaN,NaN,0,0,1,1,0,0
144,2018,1034,8,NaN,NaN,NaN,0,0.159609015699699,1,1,0,4
144,2018,634,17,NaN,NaN,NaN,0,0,1,0,0,0
144,2018,323,15,NaN,NaN,NaN,0,0,1,1,0,21
144,2018,1107,5,NaN,NaN,NaN,0,0,1,0,0,0
144,2018,255,22,NaN,NaN,NaN,0,0,1,0,0,0
144,2018,541,19,NaN,NaN,NaN,0,0,1,1,0,16
144,2018,1124,11,NaN,NaN,NaN,0,0,1,1,0,17
144,2018,1199,1,NaN,NaN,NaN,0,0,1,1,0,6
144,2018,174,11,NaN,NaN,NaN,0,0,1,0,0,0
144,2018,16,5,NaN,NaN,NaN,0,0,1,1,0,0
144,2018,1003,12,NaN,NaN,NaN,0,0,1,1,0,0
144,2018,410,2,NaN,NaN,NaN,0,0,1,0,0,0
144,2018,534,12,NaN,NaN,NaN,0,0,1,1,0,0
144,2018,554,4,NaN,NaN,NaN,0,0.48166616837945,1,1,0,16
144,2018,1024,22,NaN,NaN,NaN,0,0,1,0,0,5
144,2018,763,5,NaN,NaN,NaN,0,0,1,1,0,15
144,2018,67,3,NaN,NaN,NaN,0,0,1,0,0,2
144,2018,803,5,NaN,NaN,NaN,0,0,1,1,0,9
144,2018,1122,5,NaN,NaN,NaN,0,0.299795759852731,1,1,0,9
144,2018,745,10,NaN,NaN,NaN,0,0,1,1,0,7
144,2018,767,16,NaN,NaN,NaN,0,0,1,1,0,14
144,2018,1457,10,NaN,NaN,NaN,0,0,1,1,0,21
144,2018,1584,5,NaN,NaN,NaN,0,0,1,0,0,8
144,2018,151,12,NaN,NaN,NaN,0,0,1,1,0,0
144,2018,447,15,NaN,NaN,NaN,0,0,1,1,0,0
144,2018,1394,21,NaN,NaN,NaN,0,0,1,1,0,4
144,2018,27,6,NaN,NaN,NaN,0,0,1,1,0,0
144,2018,1268,20,NaN,NaN,NaN,0,0,1,1,0,22
144,2018,1368,13,NaN,NaN,NaN,0,0,1,0,0,0
144,2018,1043,13,NaN,NaN,NaN,0,0,1,1,0,0
144,2018,931,12,NaN,NaN,NaN,0,0,1,1,0,0
144,2018,247,5,NaN,NaN,NaN,0,0,1,1,0,3
144,2018,607,8,NaN,NaN,NaN,0,0,1,0,0,5
144,2018,1196,13,NaN,NaN,NaN,0,0,1,1,0,0
144,2018,1599,13,NaN,NaN,NaN,0,0,1,1,0,0
144,2018,102,15,NaN,NaN,NaN,0,0,1,1,0,0
144,2018,1439,9,NaN,NaN,NaN,0,0,1,1,0,17
144,2018,1465,21,NaN,NaN,NaN,0,0,1,1,0,0
144,2018,1178,12,NaN,NaN,NaN,0,0,1,0,0,10
144,2018,1441,18,NaN,NaN,NaN,0,0,1,0,0,17
144,2018,487,15,NaN,NaN,NaN,0,0,1,1,0,20
144,2018,44,20,NaN,NaN,NaN,0,0,1,1,0,5
